aIsAgressive, bIsAgressive, score
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -3,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, -1,
true, true, 1,
true, true, 1,
false, false, 1,
false, false, 1,
false, false, -2,
false, false, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, -2,
true, true, 1,
true, true, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 6,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 0,
false, false, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 2,
true, true, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 1,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 0,
false, false, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
